Source.Name,File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g),Density (kg/m3)
0522_07.csv,0522_07_mesh_10.ply,6.674,82.02,11.008,6.304,1.354,0.004,599.3407252
0522_04.csv,0522_04_mesh_4.ply,5.082,50.352,6.069,5.473,1.365,0.002,393.5458481
0524_07.csv,0524_07_mesh_7.ply,6.359,136.417,12.708,6.263,1.384,0.006,943.5445825
0522_07.csv,0522_07_mesh_5.ply,3.575,71.85,8.718,7.382,1.747,0.001,279.7202797
0524_06.csv,0524_06_mesh_12.ply,11.722,183.83,18.731,7.87,2.022,0.011,938.4064153
0521_02.csv,0521_02_mesh_5.ply,2.546,87.006,12.533,4.882,2.044,0.003,1178.318932
0522_09.csv,0522_09_mesh_11.ply,11.974,153.35,15.119,6.199,2.403,0.007,584.5999666
0522_04.csv,0522_04_mesh_1.ply,0.337,107.276,9.47,6.265,2.492,0.002,5934.718101
0524_09.csv,0524_09_mesh_12.ply,99.122,233.041,24.164,5.654,2.639,0.045,453.9859971
0524_02.csv,0524_02_mesh_5.ply,28.353,106.111,11.688,6.574,2.657,0.011,387.9660001
0524_07.csv,0524_07_mesh_2.ply,8.361,145.204,12.513,7.548,2.847,0.004,478.4116732
0524_14.csv,0524_14_mesh_1.ply,89.106,187.656,15.175,5.871,2.976,0.029,325.455076
0524_10.csv,0524_10_mesh_9.ply,74.402,133.36,15.856,4.139,3.066,0.016,215.0479826
0524_09.csv,0524_09_mesh_11.ply,9.11,125.383,12.674,6.323,3.066,0.008,878.1558727
0522_07.csv,0522_07_mesh_7.ply,55.251,107.352,13.164,4.746,3.094,0.012,217.1906391
0524_12.csv,0524_12_mesh_13.ply,109.866,177.96,21.381,3.931,3.142,0.025,227.5499245
0524_02.csv,0524_02_mesh_1.ply,75.985,159.187,11.264,7.309,3.151,0.023,302.6913207
0522_03.csv,0522_03_mesh_3.ply,140.391,292.598,39.327,8.931,3.169,0.025,178.0740931
0522_09.csv,0522_09_mesh_10.ply,83.1,223.463,29.35,6.522,3.226,0.009,108.3032491
0522_03.csv,0522_03_mesh_15.ply,44.215,130.463,12.689,5.455,3.348,0.013,294.0178672
0524_04.csv,0524_04_mesh_6.ply,113.207,284.955,46.341,4.922,3.363,0.038,335.6682891
0522_07.csv,0522_07_mesh_15.ply,127.05,173.865,14.359,6.555,3.472,0.036,283.3530106
0524_09.csv,0524_09_mesh_9.ply,141.332,231.56,26.522,3.53,3.477,0.035,247.6438457
0522_04.csv,0522_04_mesh_3.ply,38.954,130.75,12.799,5.343,3.539,0.03,770.1391385
0522_03.csv,0522_03_mesh_14.ply,9.006,202.548,11.573,9.851,3.539,0.008,888.2966911
0524_05.csv,0524_05_mesh_4.ply,13.162,81.964,8.951,4.26,3.54,0.021,1595.502203
0522_03.csv,0522_03_mesh_7.ply,156.528,348.361,49.782,10.189,3.596,0.023,146.9385669
0522_07.csv,0522_07_mesh_14.ply,72.965,102.026,7.942,5.477,3.64,0.017,232.9884191
0522_04.csv,0522_04_mesh_2.ply,11.845,73.733,11.614,4.378,3.658,0.021,1772.899958
0524_12.csv,0524_12_mesh_15.ply,78.631,159.61,13.821,5.899,3.678,0.02,254.352609
0522_09.csv,0522_09_mesh_19.ply,40.291,97.024,11.551,5.674,3.685,0.009,223.3749473
0522_07.csv,0522_07_mesh_6.ply,38.834,74.077,7.13,4.272,3.706,0.01,257.5063089
0524_07.csv,0524_07_mesh_9.ply,130.018,317.85,45.681,11.309,3.713,0.041,315.3409528
0524_10.csv,0524_10_mesh_4.ply,37.319,78.275,6.525,5.45,3.723,0.019,509.1240387
0522_03.csv,0522_03_mesh_12.ply,131.704,201.456,13.334,5.937,3.723,0.045,341.6752718
0521_02.csv,0521_02_mesh_2.ply,57.362,142.812,17.871,5.539,3.767,0.019,331.229734
0524_05.csv,0524_05_mesh_5.ply,3.444,76.405,6.899,4.716,3.772,0.016,4645.760743
0522_03.csv,0522_03_mesh_11.ply,77.117,119.619,10.453,4.598,3.787,0.014,181.5423318
0522_09.csv,0522_09_mesh_25.ply,57.485,215.714,37.005,12.66,3.798,0.011,191.3542663
0524_04.csv,0524_04_mesh_3.ply,98.529,321.427,32.157,16.11,3.962,0.043,436.4197343
0522_09.csv,0522_09_mesh_15.ply,46.76,104.164,8.756,6.124,4.015,0.012,256.6295979
0524_06.csv,0524_06_mesh_1.ply,117.016,235.4,19.98,6.549,4.077,0.044,376.0169549
0522_09.csv,0522_09_mesh_14.ply,126.655,175.519,13.242,5.862,4.154,0.023,181.5956733
0522_02.csv,0522_02_mesh_4.ply,80.176,125.37,9.644,5.637,4.157,0.021,261.9237677
0522_02.csv,0522_02_mesh_12.ply,56.034,168.785,18.445,6.663,4.236,0.03,535.389228
0522_02.csv,0522_02_mesh_9.ply,138.53,183.45,12.789,5.332,4.244,0.025,180.466325
0522_07.csv,0522_07_mesh_12.ply,42.744,78.749,5.045,6.35,4.261,0.009,210.5558675
0524_05.csv,0524_05_mesh_3.ply,29.741,98.057,10.568,4.398,4.274,0.018,605.2251101
0524_10.csv,0524_10_mesh_5.ply,116.793,339.053,61.574,5.139,4.275,0.025,214.0539245
0522_03.csv,0522_03_mesh_16.ply,151.597,176.415,12.532,4.827,4.296,0.033,217.682408
0522_02.csv,0522_02_mesh_3.ply,111.378,138.778,9.033,5.462,4.331,0.022,197.5255436
0524_08.csv,0524_08_mesh_13.ply,23.37,225.853,17.796,6.129,4.363,0.013,556.2687206
0524_03.csv,0524_03_mesh_1.ply,133.789,190.103,16.079,6.207,4.4,0.072,538.1608353
0522_09.csv,0522_09_mesh_2.ply,192.239,263.239,18.492,6.332,4.414,0.029,150.853885
0522_07.csv,0522_07_mesh_16.ply,55.664,115.037,8.286,7.09,4.434,0.021,377.2635815
0524_14.csv,0524_14_mesh_2.ply,89.42,143.647,12.348,6.27,4.438,0.016,178.9308879
0524_04.csv,0524_04_mesh_7.ply,5.064,121.02,14.064,7.409,4.465,0.01,1974.723539
0522_09.csv,0522_09_mesh_26.ply,67.123,113.791,13.026,5.158,4.472,0.022,327.7565067
0524_10.csv,0524_10_mesh_2.ply,17.508,160.396,10.615,7.17,4.511,0.012,685.4009596
0522_09.csv,0522_09_mesh_23.ply,148.117,273.363,19.055,7.872,4.535,0.032,216.0454236
0522_09.csv,0522_09_mesh_7.ply,101.592,167.533,14.978,5.55,4.547,0.042,413.4183794
0522_09.csv,0522_09_mesh_1.ply,248.84,343.691,28.014,8.37,4.577,0.046,184.8577399
0522_02.csv,0522_02_mesh_14.ply,225.95,285.854,18.879,6.084,4.601,0.039,172.6045585
0522_09.csv,0522_09_mesh_17.ply,83.819,128.012,8.037,6.127,4.616,0.014,167.0265692
0522_07.csv,0522_07_mesh_11.ply,17.492,72.175,5.906,5.538,4.626,0.015,857.5348731
0524_13.csv,0524_13_mesh_6.ply,144.616,176.569,13.699,6.516,4.63,0.042,290.4242961
0524_02.csv,0524_02_mesh_6.ply,34.288,109.342,11.02,4.427,4.635,0.017,495.80028
0522_07.csv,0522_07_mesh_8.ply,65.977,252.425,29.039,7.121,4.667,0.021,318.2927384
0522_09.csv,0522_09_mesh_28.ply,85.69,139.568,10.378,6.155,4.671,0.025,291.749329
0522_02.csv,0522_02_mesh_8.ply,211.115,293.309,20.175,7.539,4.68,0.044,208.4172134
0524_12.csv,0524_12_mesh_9.ply,36.731,322.437,16.201,8.505,4.682,0.012,326.6995181
0522_07.csv,0522_07_mesh_1.ply,132.526,193.862,15.329,7.143,4.683,0.034,256.553431
0522_07.csv,0522_07_mesh_4.ply,88.486,166.92,14.596,5.871,4.729,0.024,271.229347
0524_13.csv,0524_13_mesh_10.ply,256.174,477.548,63.47,12.148,4.731,0.079,308.3841452
0524_04.csv,0524_04_mesh_1.ply,344.833,458.561,38.991,10.109,4.757,0.072,208.7967219
0522_09.csv,0522_09_mesh_4.ply,103.357,208.185,19.134,5.693,4.786,0.024,232.2048821
0524_08.csv,0524_08_mesh_12.ply,245.885,319.673,19.178,6.68,4.793,0.056,227.7487443
0522_09.csv,0522_09_mesh_8.ply,136.184,166.891,11.847,6.165,4.813,0.026,190.9181695
0524_13.csv,0524_13_mesh_11.ply,186.794,199.062,13.479,6.762,4.82,0.047,251.6140775
0522_07.csv,0522_07_mesh_13.ply,12.376,160.682,9.32,8.498,4.839,0.007,565.6108597
0524_05.csv,0524_05_mesh_1.ply,42.565,148.696,12.132,4.181,4.865,0.033,775.2848585
0522_01.csv,0522_01_mesh_8.ply,398.316,360.445,15.302,9.347,4.867,0.116,291.2260617
0522_09.csv,0522_09_mesh_6.ply,123.198,182.334,11.913,8.419,4.894,0.028,227.2764168
0524_09.csv,0524_09_mesh_7.ply,322.321,394.993,24.945,6.088,4.907,0.078,241.9947816
0522_03.csv,0522_03_mesh_2.ply,314.231,491.369,47.99,10.247,4.913,0.079,251.4074041
0522_03.csv,0522_03_mesh_5.ply,497.906,741.68,66.021,13.761,4.93,0.084,168.706543
0522_02.csv,0522_02_mesh_7.ply,135.032,173.472,13.244,6.933,4.943,0.035,259.1978198
0524_04.csv,0524_04_mesh_9.ply,76.654,141.962,11.71,4.876,4.944,0.024,313.095207
0524_04.csv,0524_04_mesh_11.ply,86.205,137.204,8.382,8.06,4.945,0.021,243.6053593
0524_13.csv,0524_13_mesh_7.ply,693.241,819.341,58.977,19.083,4.976,0.146,210.60497
0522_09.csv,0522_09_mesh_20.ply,214.937,274.542,16.768,8.241,5.01,0.041,190.7535697
0522_06.csv,0522_06_mesh_6.ply,54.098,214.484,12.24,10.959,5.046,0.016,295.7595475
0522_07.csv,0522_07_mesh_18.ply,42.168,102.893,8.239,4.17,5.065,0.034,806.2986151
0524_13.csv,0524_13_mesh_12.ply,77.933,216.599,20.915,4.892,5.08,0.063,808.3866911
0522_09.csv,0522_09_mesh_24.ply,105.283,160.643,13.757,5.29,5.125,0.021,199.4624013
0522_01.csv,0522_01_mesh_3.ply,235.877,292.198,22.131,6.245,5.145,0.055,233.1723737
0524_07.csv,0524_07_mesh_6.ply,618.726,653.485,39.432,6.059,5.184,0.111,179.400898
0524_01.csv,0524_01_mesh_3.ply,149.59,199.908,15.917,6.32,5.221,0.038,254.0276756
0522_01.csv,0522_01_mesh_10.ply,609.692,741.351,45.964,8.129,5.222,0.147,241.105345
0522_06.csv,0522_06_mesh_11.ply,25.774,107.654,16.234,3.733,5.224,0.014,543.1830527
0524_10.csv,0524_10_mesh_3.ply,516.091,465.671,26.556,9.473,5.298,0.111,215.0783486
0521_01.csv,0521_01_mesh_6.ply,216.762,254.158,16.704,9.026,5.326,0.056,258.3478654
0524_10.csv,0524_10_mesh_1.ply,103.954,236.33,29.162,8.401,5.337,0.024,230.8713469
0522_03.csv,0522_03_mesh_10.ply,367.044,711.532,84.517,11.787,5.361,0.178,484.9554822
0524_12.csv,0524_12_mesh_10.ply,21.733,210.149,12.381,8.98,5.367,0.009,414.1167809
0524_12.csv,0524_12_mesh_14.ply,329.717,338.503,20.85,6.067,5.369,0.072,218.3690862
0522_02.csv,0522_02_mesh_2.ply,595.508,823.3,64.879,8.036,5.382,0.144,241.8103535
0524_12.csv,0524_12_mesh_4.ply,131.149,248.461,27.006,5.184,5.417,0.047,358.3710131
0522_03.csv,0522_03_mesh_6.ply,137.472,309.309,30.041,6.983,5.421,0.035,254.5972998
0522_09.csv,0522_09_mesh_16.ply,199.858,226.092,12.037,8.541,5.447,0.045,225.1598635
0524_07.csv,0524_07_mesh_1.ply,283.747,366.146,27.057,5.618,5.48,0.046,162.1162514
0524_02.csv,0524_02_mesh_7.ply,184.92,265.633,17.832,6.432,5.506,0.077,416.3962795
0524_13.csv,0524_13_mesh_13.ply,263.277,319.535,21.738,6.806,5.509,0.059,224.098573
0522_09.csv,0522_09_mesh_13.ply,34.974,195.702,13.335,6.801,5.513,0.039,1115.114085
0522_06.csv,0522_06_mesh_2.ply,137.16,257.973,19.441,6.583,5.521,0.103,750.9477982
0522_09.csv,0522_09_mesh_5.ply,307.643,378.125,23.325,9.734,5.524,0.069,224.2859418
0524_12.csv,0524_12_mesh_12.ply,270.338,291.15,16.348,6.202,5.617,0.052,192.3517966
0524_06.csv,0524_06_mesh_11.ply,317.254,380.913,31.93,6.524,5.65,0.087,274.2282209
0524_09.csv,0524_09_mesh_8.ply,815.962,768.199,49.791,10.679,5.677,0.174,213.2452247
0522_02.csv,0522_02_mesh_10.ply,123.065,223.3,9.046,9.893,5.694,0.052,422.5409337
0522_09.csv,0522_09_mesh_27.ply,33.346,100.797,7.526,6.854,5.695,0.034,1019.612547
0524_12.csv,0524_12_mesh_5.ply,166.744,241.433,15.7,8.832,5.695,0.042,251.8831262
0522_03.csv,0522_03_mesh_1.ply,141.101,244.203,13.642,8.609,5.705,0.036,255.1363917
0524_10.csv,0524_10_mesh_6.ply,604.469,548.516,28.758,6.927,5.748,0.152,251.4603727
0524_08.csv,0524_08_mesh_4.ply,514.193,545.456,28.185,7.009,5.865,0.126,245.044176
0522_09.csv,0522_09_mesh_12.ply,103.772,148.799,8.855,6.809,5.875,0.024,231.2762595
0521_01.csv,0521_01_mesh_2.ply,378.916,476.56,30.768,8.833,5.891,0.097,255.9934128
0524_12.csv,0524_12_mesh_7.ply,490.621,541.127,32.249,10.542,5.932,0.104,211.9762505
0524_09.csv,0524_09_mesh_5.ply,105.743,195.1,14.204,5.593,5.96,0.06,567.4134458
0524_09.csv,0524_09_mesh_2.ply,680.97,763.716,54.484,12.75,5.96,0.18,264.3288251
0522_07.csv,0522_07_mesh_17.ply,10.774,258.115,21.501,6.243,6.002,0.011,1020.976425
0524_09.csv,0524_09_mesh_13.ply,416.735,395.052,20.405,8.967,6.097,0.095,227.9626141
0521_01.csv,0521_01_mesh_12.ply,506.242,451.998,24.515,8.024,6.098,0.12,237.0407829
0524_11.csv,0524_11_mesh.ply,255.839,611.295,68.641,26.995,6.127,0.073,285.3356994
0524_06.csv,0524_06_mesh_7.ply,433.95,409.566,22.953,8.454,6.191,0.119,274.2251411
0524_01.csv,0524_01_mesh_5.ply,305.655,357.152,22.047,6.671,6.194,0.067,219.2013872
0524_01.csv,0524_01_mesh_10.ply,11.599,225.845,13.05,9.929,6.202,0.043,3707.216139
0524_13.csv,0524_13_mesh_2.ply,544.35,440.933,21.777,8.037,6.231,0.146,268.2097915
0521_02.csv,0521_02_mesh_3.ply,868.532,807.563,45.419,16.404,6.233,0.197,226.8195069
0522_01.csv,0522_01_mesh_9.ply,184.118,241.662,14.412,6.634,6.251,0.074,401.9161625
0524_09.csv,0524_09_mesh_3.ply,207.866,213.979,11.076,6.115,6.271,0.058,279.0259109
0524_03.csv,0524_03_mesh_8.ply,561.484,525.874,29.202,9.129,6.28,0.112,199.4714008
0524_02.csv,0524_02_mesh_3.ply,353.042,331.913,16.763,9.001,6.313,0.086,243.5970791
0524_07.csv,0524_07_mesh_4.ply,1182.935,1354.639,83.939,12.945,6.324,0.233,196.9677117
0522_09.csv,0522_09_mesh_18.ply,121.625,186.261,8.609,8.521,6.336,0.031,254.8818088
0524_01.csv,0524_01_mesh_7.ply,374.689,434.024,26.206,6.7,6.376,0.084,224.1859249
0524_09.csv,0524_09_mesh_15.ply,274.681,322.847,12.736,9.219,6.411,0.059,214.7946163
0524_09.csv,0524_09_mesh_14.ply,415.635,374.177,18.851,7.804,6.459,0.168,404.2008012
0522_06.csv,0522_06_mesh_4.ply,401.012,423.534,29.095,9.268,6.46,0.089,221.9384956
0521_01.csv,0521_01_mesh_10.ply,132.459,198.889,11.572,9.134,6.467,0.041,309.5297413
0522_03.csv,0522_03_mesh_8.ply,289.555,333.187,19.349,7.917,6.483,0.077,265.9252992
0524_09.csv,0524_09_mesh_6.ply,718.969,745.314,45.119,10.162,6.531,0.481,669.0135458
0522_07.csv,0522_07_mesh_2.ply,381.641,718.211,77.383,12.387,6.545,0.076,199.1400295
0524_08.csv,0524_08_mesh_2.ply,576.153,736.891,34.262,10.333,6.575,0.19,329.773515
0522_09.csv,0522_09_mesh_9.ply,405.738,384.5,21.751,10.148,6.599,0.106,261.2523353
0522_05.csv,0522_05_mesh_6.ply,330.845,335.63,12.906,10.64,6.601,0.097,293.1886533
0524_09.csv,0524_09_mesh_4.ply,1036.305,988.572,61.208,10.03,6.62,0.295,284.6652289
0522_05.csv,0522_05_mesh_2.ply,802.176,901.729,58.355,12.517,6.628,0.223,277.9938567
0524_02.csv,0524_02_mesh_2.ply,61.898,109.492,5.076,6.304,6.656,0.017,274.6453843
0524_13.csv,0524_13_mesh_14.ply,427.588,584.744,47.499,8.487,6.679,0.106,247.9021862
0524_06.csv,0524_06_mesh_6.ply,473.7,409.739,16.411,7.57,6.722,0.113,238.547604
0522_09.csv,0522_09_mesh_21.ply,412.483,454.375,25.095,11.849,6.737,0.108,261.8289723
0524_08.csv,0524_08_mesh_5.ply,377.796,385.9,18.805,9.288,6.747,0.107,283.2216328
0522_02.csv,0522_02_mesh_1.ply,453.543,425.925,13.596,10.836,6.757,0.146,321.9099402
0524_12.csv,0524_12_mesh_2.ply,602.731,575.331,25.209,10.083,6.762,0.178,295.3224573
0524_01.csv,0524_01_mesh_11.ply,937.32,905.37,51.947,8.105,6.77,0.172,183.501899
0524_13.csv,0524_13_mesh_9.ply,1138.161,1084.147,67.105,15.745,6.796,0.233,204.7162045
0522_02.csv,0522_02_mesh_11.ply,851.807,624.636,26.753,8.98,6.848,0.164,192.5318764
0524_01.csv,0524_01_mesh_2.ply,506.174,506.695,30.509,8.573,6.938,0.126,248.9262586
0524_09.csv,0524_09_mesh_1.ply,734.593,576.625,28.031,7.644,7.023,0.163,221.8915781
0524_07.csv,0524_07_mesh_5.ply,843.045,1458.097,92.728,44.006,7.047,0.159,188.6020319
0522_05.csv,0522_05_mesh_3.ply,548.415,577.021,26.781,10.683,7.06,0.176,320.9248471
0524_13.csv,0524_13_mesh_4.ply,510.013,535.233,32.603,9.815,7.078,0.118,231.3666514
0521_01.csv,0521_01_mesh_5.ply,856.435,771.468,40.196,8.688,7.082,0.172,200.8325209
0522_07.csv,0522_07_mesh_3.ply,175.392,190.403,8.142,8.786,7.091,0.061,347.7923737
0522_08.csv,0522_08_mesh_6.ply,611.553,489.23,22.276,11.126,7.096,0.191,312.3196191
0524_04.csv,0524_04_mesh_10.ply,157.415,199.26,10.868,6.854,7.135,0.036,228.6948512
0521_02.csv,0521_02_mesh_1.ply,715.214,1119.846,86.662,39.266,7.205,0.115,160.791036
0524_12.csv,0524_12_mesh_1.ply,439.123,355.03,15.247,9.505,7.21,0.114,259.6083557
0522_03.csv,0522_03_mesh_13.ply,496.158,453.08,18.035,12.205,7.282,0.144,290.2301283
0521_02.csv,0521_02_mesh_4.ply,936.827,794.686,38.282,12.09,7.322,0.231,246.5770094
0524_02.csv,0524_02_mesh_8.ply,423.048,337.602,16.432,8.781,7.368,0.103,243.47119
0522_01.csv,0522_01_mesh_7.ply,977.089,764.422,34.837,8.408,7.394,0.252,257.908952
0524_04.csv,0524_04_mesh_12.ply,181.611,224.169,12.273,7.11,7.444,0.036,198.2258784
0522_06.csv,0522_06_mesh_7.ply,466.197,397.598,14.885,12.983,7.487,0.166,356.0726474
0524_07.csv,0524_07_mesh_8.ply,290.395,640.707,61.475,23.354,7.504,0.07,241.0509823
0522_05.csv,0522_05_mesh_1.ply,1559.376,1481.689,78.811,26.259,7.566,0.425,272.5449154
0522_05.csv,0522_05_mesh_11.ply,833.964,651.522,27.396,13.496,7.568,0.329,394.5014413
0524_08.csv,0524_08_mesh_3.ply,1227.94,972.601,42.687,9.97,7.607,0.342,278.5152369
0522_08.csv,0522_08_mesh_3.ply,957.373,749.5,35.847,9.183,7.608,0.22,229.7954925
0522_06.csv,0522_06_mesh_12.ply,817.477,667.399,32.628,9.934,7.689,0.261,319.2750377
0524_06.csv,0524_06_mesh_2.ply,712.739,498.394,20.848,10.656,7.765,0.192,269.3833226
0522_05.csv,0522_05_mesh_8.ply,651.111,489.078,20.614,9.532,7.782,0.205,314.8464701
0522_02.csv,0522_02_mesh_13.ply,218.831,248.845,12.081,8.99,7.833,0.057,260.4749784
0524_06.csv,0524_06_mesh_5.ply,1507.159,1155.951,53.986,11.402,7.868,0.418,277.343001
0524_01.csv,0524_01_mesh_9.ply,2234.57,1946.353,105.067,24.176,7.93,0.442,197.8009192
0524_02.csv,0524_02_mesh_4.ply,1414.054,1049.368,50.92,8.328,7.945,0.266,188.111628
0524_12.csv,0524_12_mesh_8.ply,1065.733,799.752,36.211,12.066,7.948,0.273,256.1617216
0522_01.csv,0522_01_mesh_4.ply,2100.793,1600.734,80.564,12.545,7.979,0.568,270.3740921
0521_01.csv,0521_01_mesh_7.ply,1628.778,1492.429,85.619,20.013,8.028,0.333,204.4477516
0521_01.csv,0521_01_mesh_11.ply,549.581,708.363,34.797,12.381,8.083,0.254,462.1702715
0524_08.csv,0524_08_mesh_7.ply,833.394,765.002,39.007,8.028,8.086,0.262,314.3771133
0522_05.csv,0522_05_mesh_10.ply,984.464,826.726,39.947,12.673,8.149,0.302,306.7659153
0524_06.csv,0524_06_mesh_13.ply,359.476,367.533,24.685,9.051,8.259,0.103,286.5281688
0524_06.csv,0524_06_mesh_3.ply,681.037,478.769,17.062,9.416,8.329,0.183,268.7078676
0524_10.csv,0524_10_mesh_8.ply,810.897,841.957,61.303,10.215,8.354,0.197,242.9408421
0524_04.csv,0524_04_mesh_8.ply,895.545,1077.572,64.687,25.561,8.381,0.232,259.0601254
0524_03.csv,0524_03_mesh_5.ply,1804.374,1151.931,46.03,10.874,8.517,0.377,208.9367282
0524_03.csv,0524_03_mesh_2.ply,818.663,805.781,48.796,10.102,8.548,0.253,309.0404721
0521_02.csv,0521_02_mesh_6.ply,869.946,640.989,30.161,13.966,8.564,0.195,224.1518439
0524_08.csv,0524_08_mesh_8.ply,1349.566,945.643,36.842,13.394,8.664,0.35,259.3426331
0524_08.csv,0524_08_mesh_1.ply,2480.875,1773.305,58.93,15.429,8.666,1.216,490.1496448
0524_06.csv,0524_06_mesh_10.ply,2715.762,1959.968,98.48,18.145,8.749,0.544,200.3121039
0524_13.csv,0524_13_mesh_1.ply,1174.63,866.93,40.086,9.516,8.783,0.302,257.1022364
0524_12.csv,0524_12_mesh_3.ply,1479.936,1507.074,74.913,17.098,8.833,0.6,405.4229372
0522_06.csv,0522_06_mesh_9.ply,1902.396,1537.522,78.821,18.735,8.909,0.811,426.3045128
0522_05.csv,0522_05_mesh_4.ply,1044.083,794.461,34.692,11.034,9.004,0.279,267.2201348
0522_03.csv,0522_03_mesh_4.ply,607.466,863.11,43.709,7.728,9.011,0.213,350.6369081
0524_01.csv,0524_01_mesh_1.ply,1190.159,885.382,41.06,13.344,9.015,0.268,225.179997
0524_07.csv,0524_07_mesh_3.ply,3075.639,2743.677,136.986,26.752,9.426,0.68,221.0922673
0522_01.csv,0522_01_mesh_11.ply,1211.044,874.794,30.847,13.223,9.448,0.428,353.4140791
0522_01.csv,0522_01_mesh_6.ply,2038.218,1583.321,78.799,12.902,9.503,0.771,378.2716078
0524_13.csv,0524_13_mesh_8.ply,3409.929,2111.499,90.664,15.472,9.546,1,293.261238
0524_01.csv,0524_01_mesh_8.ply,562.483,518.961,23.952,10.893,9.576,0.163,289.7865358
0521_01.csv,0521_01_mesh_1.ply,668.086,496.885,16.568,13.264,9.589,0.197,294.872217
0521_01.csv,0521_01_mesh_8.ply,1287.683,1028.022,50.187,12.204,9.678,0.278,215.8916441
0524_03.csv,0524_03_mesh_6.ply,1480.575,1029.292,42.379,9.519,9.711,0.387,261.3849349
0524_06.csv,0524_06_mesh_4.ply,2179.017,1412.151,50.422,11.597,9.788,0.501,229.9201888
0524_08.csv,0524_08_mesh_11.ply,833.452,601.005,19.272,10.256,9.793,0.246,295.1579695
0522_02.csv,0522_02_mesh_6.ply,1350.526,1614.182,130.068,21.226,9.845,0.245,181.4107985
0524_08.csv,0524_08_mesh_6.ply,2604.793,1881.117,66.726,10.236,9.881,0.558,214.2204774
0522_08.csv,0522_08_mesh_5.ply,1003.446,689.249,21.915,10.231,10.249,0.244,243.1620635
0524_03.csv,0524_03_mesh_4.ply,1626.136,970.345,37.825,13.055,10.278,0.71,436.6178475
0522_08.csv,0522_08_mesh_4.ply,2506.534,1915.702,88.834,12.024,10.389,0.963,384.1958657
0524_13.csv,0524_13_mesh_3.ply,1799.758,1469.447,82.444,13.08,10.439,0.309,171.6897494
0521_01.csv,0521_01_mesh_3.ply,3586.363,1929.866,56.433,18.781,10.792,0.884,246.4892706
0522_08.csv,0522_08_mesh_8.ply,4303.821,2170.821,68.642,16.128,10.886,0.978,227.239934
0524_09.csv,0524_09_mesh_10.ply,575.187,767.065,53.348,17.167,10.895,0.132,229.4905831
0524_03.csv,0524_03_mesh_9.ply,2317.718,1147.027,36.162,12.013,11.116,0.395,170.4262555
0522_09.csv,0522_09_mesh_3.ply,737.876,788.239,52.9,13.947,11.135,0.159,215.4833603
0524_06.csv,0524_06_mesh_8.ply,3107.477,1780.616,67.668,10.679,11.286,0.785,252.6165117
0522_06.csv,0522_06_mesh_3.ply,3624.416,1928.164,67.707,15.263,11.354,0.967,266.8016033
0522_01.csv,0522_01_mesh_12.ply,2573.841,1364.262,38.479,13.487,11.508,0.625,242.8277427
0524_12.csv,0524_12_mesh_6.ply,5663.922,2792.996,83.063,20.714,11.643,1.231,217.3405637
0524_04.csv,0524_04_mesh_2.ply,5312.906,3138.663,119.636,23.941,11.753,2.601,489.5625859
0522_05.csv,0522_05_mesh_9.ply,2767.143,1537.071,51.623,13.248,11.811,0.642,232.0082482
0522_06.csv,0522_06_mesh_8.ply,2748.794,1414.523,40.58,12.218,11.968,0.594,216.0947674
0522_06.csv,0522_06_mesh_5.ply,2093.876,2013.266,121.21,28.261,12.021,0.44,210.1366079
0522_01.csv,0522_01_mesh_1.ply,1067.438,675.495,26.04,10.546,12.268,0.217,203.2904956
0522_01.csv,0522_01_mesh_2.ply,2444.501,1291.289,41.847,17.351,12.268,0.397,162.4053334
0524_08.csv,0524_08_mesh_9.ply,1489.226,1309.038,45.9,14.852,12.423,0.453,304.1848584
0524_04.csv,0524_04_mesh_5.ply,5196.213,2800.463,95.416,19.474,12.493,2.069,398.1745937
0522_06.csv,0522_06_mesh_1.ply,727.686,615.594,19.06,12.608,12.708,0.2,274.84382
0524_03.csv,0524_03_mesh_3.ply,9922.152,4515.753,138.403,18.488,12.748,2.438,245.7128252
0521_01.csv,0521_01_mesh_4.ply,6907.698,3096.639,80.8,22.29,13.783,1.385,200.5009484
0522_05.csv,0522_05_mesh_5.ply,1886.581,2071.492,131.876,44.676,13.783,0.468,248.067801
0522_08.csv,0522_08_mesh_2.ply,6895.99,3539.735,122.619,19.304,14.235,2.436,353.2487721
0524_01.csv,0524_01_mesh_6.ply,8209.868,3404.93,81.386,26.269,15.118,1.866,227.2874546
0522_08.csv,0522_08_mesh_1.ply,6177.738,3938.221,146.518,39.645,15.377,2.965,479.9491335
